"","rank","name","state_name","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","CCBASIC","UGDS","LOCALE","CCSIZSET","CONTROL","CCBASIC_words"
"78",24,"Golden Gate University-San Francisco","California",59200,109800,49,3,"18","404","11","9",2,"Master's Colleges & Universities: Larger Programs"
"79",25,"University of San Diego","California",58900,109400,48,12,"16","5760","11","13",2,"Doctoral Universities: High Research Activity"
"80",1,"Colorado School of Mines","Colorado",75600,139600,60,93,"16","4906","21","13",1,"Doctoral Universities: High Research Activity"
"81",2,"United States Air Force Academy","Colorado",76300,138100,69,43,"21","4336","31","14",1,"Baccalaureate Colleges: Arts & Sciences Focus"
"82",3,"University of Colorado Boulder","Colorado",57800,109900,48,39,"15","29753","12","16",1,"Doctoral Universities: Very High Research Activity"
"83",4,"University of Denver","Colorado",55700,105100,48,12,"16","5791","11","13",2,"Doctoral Universities: High Research Activity"
"84",5,"Colorado College","Colorado",53100,97900,48,23,"21","2098","11","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"85",6,"Colorado State University-Fort Collins","Colorado",53500,96100,51,28,"15","24210","12","16",1,"Doctoral Universities: Very High Research Activity"
"86",7,"University of Colorado Denver/Anschutz Medical Campus","Colorado",53200,95600,52,17,"15","11892","11","15",1,"Doctoral Universities: Very High Research Activity"
"87",8,"Regis University","Colorado",55500,94800,58,13,"17","3926","11","12",2,"Doctoral/Professional Universities"
"88",9,"University of Colorado Colorado Springs","Colorado",52200,90900,53,21,"16","10475","11","15",1,"Doctoral Universities: High Research Activity"
"89",10,"Colorado State University-Pueblo","Colorado",48100,87600,62,13,"20","3630","12","13",1,"Master's Colleges & Universities: Small Programs"
"90",11,"Metropolitan State University of Denver","Colorado",49400,87200,51,11,"18","18809","11","15",1,"Master's Colleges & Universities: Larger Programs"
"91",12,"University of Northern Colorado","Colorado",47700,87100,52,7,"17","8903","12","16",1,"Doctoral/Professional Universities"
"92",13,"Fort Lewis College","Colorado",48300,82600,55,19,"21","3118","32","13",1,"Baccalaureate Colleges: Arts & Sciences Focus"
"93",14,"Western State Colorado University","Colorado",44800,81500,47,19,NA,NA,NA,NA,NA,NA
"94",14,"Colorado Mesa University","Colorado",47800,81500,55,7,"20","8384","13","13",1,"Master's Colleges & Universities: Small Programs"
"95",16,"Adams State University","Colorado",44400,81400,56,3,"18","1881","33","11",1,"Master's Colleges & Universities: Larger Programs"
"96",17,"Colorado Christian University","Colorado",46800,80100,70,2,"19","4936","12","12",2,"Master's Colleges & Universities: Medium Programs"
"97",18,"Johnson & Wales University-Denver","Colorado",41500,74800,39,0,"22","969","11","11",2,"Baccalaureate Colleges: Diverse Fields"
"98",19,"Nazarene Bible College","Colorado",33600,60100,NA,0,"24","555","11","6",2,"Special Focus Four-Year: Faith-Related Institutions"
"99",1,"Yale University","Connecticut",70300,138300,53,22,"15","5963","12","17",2,"Doctoral Universities: Very High Research Activity"
"100",2,"United States Coast Guard Academy","Connecticut",67300,118100,68,69,"22","1071","13","11",1,"Baccalaureate Colleges: Diverse Fields"
"101",3,"Wesleyan University","Connecticut",61600,117000,53,21,"21","2922","13","14",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"102",4,"Fairfield University","Connecticut",62300,116900,41,17,"18","4103","21","14",2,"Master's Colleges & Universities: Larger Programs"
"103",5,"Trinity College","Connecticut",60100,110900,49,22,"21","2162","12","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"104",6,"University of Connecticut","Connecticut",59100,105200,48,24,"15","18830","21","17",1,"Doctoral Universities: Very High Research Activity"
"105",7,"University of Hartford","Connecticut",55200,101600,53,15,"17","4750","12","14",2,"Doctoral/Professional Universities"
"106",8,"Connecticut College","Connecticut",57500,100800,36,30,"21","1798","13","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"107",9,"Sacred Heart University","Connecticut",55000,100500,46,15,"17","5907","21","14",2,"Doctoral/Professional Universities"
"108",10,"Quinnipiac University","Connecticut",55900,97700,46,10,"17","7371","21","14",2,"Doctoral/Professional Universities"
