"","rank","name","state_name","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","CCBASIC","UGDS","LOCALE","CCSIZSET","CONTROL","CCBASIC_words"
"239",3,"University of Iowa","Iowa",54100,99400,48,16,"15","23410","13","16",1,"Doctoral Universities: Very High Research Activity"
"240",4,"Grinnell College","Iowa",53400,96500,49,41,"21","1683","33","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"241",5,"Allen College","Iowa",51600,91300,NA,0,"26","342","13","6",2,"Special Focus Four-Year: Other Health Professions Schools"
"242",6,"Cornell College","Iowa",49600,90600,47,22,"21","1022","31","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"243",7,"Loras College","Iowa",48000,90100,56,14,"22","1361","13","11",2,"Baccalaureate Colleges: Diverse Fields"
"244",8,"Dordt College","Iowa",51000,89600,57,17,NA,NA,NA,NA,NA,NA
"245",9,"Central College","Iowa",49000,88800,55,36,"21","1076","32","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"246",10,"Graceland University-Lamoni","Iowa",48300,88700,66,5,"18","1125","43","11",2,"Master's Colleges & Universities: Larger Programs"
"247",11,"Simpson College","Iowa",49900,88600,47,17,"21","1377","31","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"248",12,"Wartburg College","Iowa",49300,88000,49,34,"21","1468","32","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"249",13,"Coe College","Iowa",47200,86900,41,24,"21","1369","12","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"250",14,"Luther College","Iowa",48200,85900,49,21,"21","1974","33","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"251",15,"University of Northern Iowa","Iowa",47100,85300,46,8,"18","9391","13","17",1,"Master's Colleges & Universities: Larger Programs"
"252",16,"Maharishi University of Management","Iowa",46800,85200,NA,65,"18","255","33","11",2,"Master's Colleges & Universities: Larger Programs"
"253",17,"Saint Ambrose University","Iowa",46900,84400,48,8,"18","2289","12","11",2,"Master's Colleges & Universities: Larger Programs"
"254",18,"Northwestern College","Iowa",44800,82400,42,11,"22","1006","32","11",2,"Baccalaureate Colleges: Diverse Fields"
"255",18,"Northwestern College","Iowa",44800,82400,42,11,"10","597","21","1",3,"Special Focus Two-Year: Health Professions"
"256",19,"Morningside College","Iowa",44900,82100,60,6,"18","1240","13","11",2,"Master's Colleges & Universities: Larger Programs"
"257",20,"Clarke University","Iowa",44900,80200,52,6,"17","731","13","8",2,"Doctoral/Professional Universities"
"258",21,"University of Dubuque","Iowa",44200,79700,48,7,"19","1965","13","10",2,"Master's Colleges & Universities: Medium Programs"
"259",22,"Mount Mercy University","Iowa",47200,79000,51,4,"19","1488","12","10",2,"Master's Colleges & Universities: Medium Programs"
"260",23,"William Penn University","Iowa",43900,78300,59,7,"22","1127","33","11",2,"Baccalaureate Colleges: Diverse Fields"
"261",24,"Upper Iowa University","Iowa",44200,78000,56,3,"18","3524","43","12",2,"Master's Colleges & Universities: Larger Programs"
"262",25,"Iowa Wesleyan University","Iowa",42600,77200,60,8,"22","594","33","8",2,"Baccalaureate Colleges: Diverse Fields"
"263",1,"University of Kansas","Kansas",53000,98600,52,16,"15","19135","13","16",1,"Doctoral Universities: Very High Research Activity"
"264",2,"Kansas State University","Kansas",52500,97200,51,18,"15","17611","13","16",1,"Doctoral Universities: Very High Research Activity"
"265",3,"Benedictine College","Kansas",48700,91800,69,13,"22","1942","32","11",2,"Baccalaureate Colleges: Diverse Fields"
"266",4,"Ottawa University-Ottawa","Kansas",49800,89900,57,7,"22","706","32","8",2,"Baccalaureate Colleges: Diverse Fields"
"267",5,"University of Saint Mary","Kansas",49500,89700,61,6,"19","732","31","10",2,"Master's Colleges & Universities: Medium Programs"
"268",6,"Newman University","Kansas",48000,88500,66,11,"18","1073","11","10",2,"Master's Colleges & Universities: Larger Programs"
"269",7,"Wichita State University","Kansas",48700,87300,57,24,"16","11148","11","15",1,"Doctoral Universities: High Research Activity"
"270",8,"Ottawa University-Online","Kansas",47300,84900,NA,7,"22","160","32","6",2,"Baccalaureate Colleges: Diverse Fields"
"271",8,"Pittsburg State University","Kansas",47100,84900,51,8,"18","5067","32","13",1,"Master's Colleges & Universities: Larger Programs"
"272",10,"Baker University","Kansas",47800,84200,55,2,"17","1436","31","10",2,"Doctoral/Professional Universities"
"273",11,"Southwestern College (Kansas)","Kansas",48500,83500,61,10,NA,NA,NA,NA,NA,NA
"274",12,"Washburn University","Kansas",47000,83000,54,4,"17","4767","12","12",1,"Doctoral/Professional Universities"
"275",13,"Ottawa University-Kansas City","Kansas",45200,82600,NA,9,"22","316","12","6",2,"Baccalaureate Colleges: Diverse Fields"
"276",14,"McPherson College","Kansas",44500,80900,59,9,"22","716","33","8",2,"Baccalaureate Colleges: Diverse Fields"
"277",15,"Kansas Wesleyan University","Kansas",44700,79400,61,10,"22","650","33","8",2,"Baccalaureate Colleges: Diverse Fields"
"278",16,"Fort Hays State University","Kansas",45100,79300,64,6,"18","12456","33","12",1,"Master's Colleges & Universities: Larger Programs"
"279",17,"Sterling College","Kansas",42700,79100,73,7,"22","568","42","8",2,"Baccalaureate Colleges: Diverse Fields"
"280",17,"Sterling College","Kansas",42700,79100,73,7,"21","107","43","8",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"281",18,"MidAmerica Nazarene University","Kansas",46200,78500,60,1,"19","1160","21","11",2,"Master's Colleges & Universities: Medium Programs"
"282",19,"Emporia State University","Kansas",43500,78000,60,9,"18","3447","33","12",1,"Master's Colleges & Universities: Larger Programs"
"283",20,"Tabor College","Kansas",43300,77500,62,7,"22","600","33","8",2,"Baccalaureate Colleges: Diverse Fields"
"284",21,"Friends University","Kansas",44700,76500,59,14,"18","1071","11","10",2,"Master's Colleges & Universities: Larger Programs"
"285",22,"Bethel College-North Newton","Kansas",42700,73800,54,12,"22","442","32","8",2,"Baccalaureate Colleges: Diverse Fields"
"286",23,"Bethany College (Kansas)","Kansas",39100,73200,61,17,NA,NA,NA,NA,NA,NA
"287",24,"Manhattan Christian College","Kansas",39400,72200,NA,0,"24","225","13","8",2,"Special Focus Four-Year: Faith-Related Institutions"
"288",25,"Central Christian College of Kansas","Kansas",37100,66100,NA,2,"22","669","33","7",2,"Baccalaureate Colleges: Diverse Fields"
"289",1,"University of Kentucky","Kentucky",51700,96400,48,19,"15","21746","11","16",1,"Doctoral Universities: Very High Research Activity"
"290",2,"Thomas More College","Kentucky",50000,90900,56,8,NA,NA,NA,NA,NA,NA
"291",3,"Bellarmine University","Kentucky",49000,90700,54,11,"17","2488","11","13",2,"Doctoral/Professional Universities"
"292",4,"Centre College","Kentucky",49500,88500,52,22,"21","1425","32","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"293",5,"University of Louisville","Kentucky",49500,87600,50,18,"15","14488","11","16",1,"Doctoral Universities: Very High Research Activity"
"294",6,"Northern Kentucky University","Kentucky",49000,87400,46,12,"17","10201","21","15",1,"Doctoral/Professional Universities"
"295",7,"Transylvania University","Kentucky",47900,85600,51,25,"21","987","11","8",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"296",8,"Western Kentucky University","Kentucky",45500,83100,49,10,"17","13959","13","16",1,"Doctoral/Professional Universities"
"297",9,"Georgetown College","Kentucky",45000,81900,54,10,"21","961","31","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"298",10,"Brescia University","Kentucky",44300,81200,53,7,"22","918","13","7",2,"Baccalaureate Colleges: Diverse Fields"
"299",11,"Eastern Kentucky University","Kentucky",45600,80700,56,5,"18","12246","32","16",1,"Master's Colleges & Universities: Larger Programs"
"300",12,"Murray State University","Kentucky",44800,79900,56,9,"18","6830","33","13",1,"Master's Colleges & Universities: Larger Programs"
"301",13,"Spalding University","Kentucky",44800,79200,71,0,"17","955","11","10",2,"Doctoral/Professional Universities"
"302",14,"Kentucky Wesleyan College","Kentucky",42100,76800,65,14,"22","783","13","8",2,"Baccalaureate Colleges: Diverse Fields"
"303",15,"Union College (Kentucky)","Kentucky",40400,76000,37,4,NA,NA,NA,NA,NA,NA
"304",16,"Morehead State University","Kentucky",41300,74900,56,9,"18","6253","33","14",1,"Master's Colleges & Universities: Larger Programs"
"305",17,"University of the Cumberlands","Kentucky",39800,73800,63,8,"17","2408","33","14",2,"Doctoral/Professional Universities"
"306",18,"Kentucky State University","Kentucky",40700,73100,57,13,"22","1233","32","10",1,"Baccalaureate Colleges: Diverse Fields"
"307",19,"Berea College","Kentucky",39500,71600,53,27,"21","1630","32","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"308",20,"Asbury University","Kentucky",39400,70800,59,4,"20","1596","31","11",2,"Master's Colleges & Universities: Small Programs"
"309",21,"University of Pikeville","Kentucky",39000,70700,74,11,"21","1082","33","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"310",22,"Kentucky Christian University","Kentucky",39600,70300,68,3,"22","502","32","8",2,"Baccalaureate Colleges: Diverse Fields"
"311",22,"Midway University","Kentucky",39200,70300,53,3,"20","1036","42","10",2,"Master's Colleges & Universities: Small Programs"
"312",24,"Campbellsville University","Kentucky",37600,66800,50,7,"18","2522","32","13",2,"Master's Colleges & Universities: Larger Programs"
"313",25,"Lindsey Wilson College","Kentucky",35300,64100,52,2,"18","1925","33","11",2,"Master's Colleges & Universities: Larger Programs"
"314",1,"Tulane University of Louisiana","Louisiana",56800,105300,44,22,"15","7920","11","17",2,"Doctoral Universities: Very High Research Activity"
"315",2,"Louisiana State University and Agricultural & Mechanical College","Louisiana",54800,102900,53,24,"15","23468","12","15",1,"Doctoral Universities: Very High Research Activity"
"316",3,"Louisiana Tech University","Louisiana",53100,100700,57,24,"16","8192","32","16",1,"Doctoral Universities: High Research Activity"
"317",4,"Louisiana State University Health Sciences Center-New Orleans","Louisiana",52300,94200,86,2,"25","915","11","10",1,"Special Focus Four-Year: Medical Schools & Centers"
"318",5,"University of Louisiana at Monroe","Louisiana",48500,92500,65,7,"17","6293","13","13",1,"Doctoral/Professional Universities"
"319",5,"University of Louisiana at Lafayette","Louisiana",48200,92500,52,19,"16","14245","12","15",1,"Doctoral Universities: High Research Activity"
"320",7,"University of New Orleans","Louisiana",49900,91600,55,23,"16","5909","11","13",1,"Doctoral Universities: High Research Activity"
"321",8,"Franciscan Missionaries of Our Lady University","Louisiana",51200,90900,87,1,"26","1049","12","6",2,"Special Focus Four-Year: Other Health Professions Schools"
"322",9,"Loyola University New Orleans","Louisiana",47900,88600,47,4,"17","2868","11","14",2,"Doctoral/Professional Universities"
"323",10,"Centenary College of Louisiana","Louisiana",47000,88400,37,26,"21","544","12","8",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"324",11,"McNeese State University","Louisiana",50200,88200,57,13,"18","6022","13","12",1,"Master's Colleges & Universities: Larger Programs"
"325",11,"Xavier University of Louisiana","Louisiana",46700,88200,63,35,"20","2437","11","11",2,"Master's Colleges & Universities: Small Programs"
"326",13,"University of Holy Cross","Louisiana",48400,86300,69,3,"20","863","11","6",2,"Master's Colleges & Universities: Small Programs"
"327",14,"Nicholls State University","Louisiana",44500,84300,53,5,"18","5543","13","13",1,"Master's Colleges & Universities: Larger Programs"
"328",15,"Southeastern Louisiana University","Louisiana",46700,83900,51,8,"18","10994","13","15",1,"Master's Colleges & Universities: Larger Programs"
"329",16,"Southern University and A&M College","Louisiana",48000,83100,65,17,NA,NA,NA,NA,NA,NA
"330",17,"Louisiana College","Louisiana",44800,79800,58,4,"20","934","23","11",2,"Master's Colleges & Universities: Small Programs"
"331",17,"Louisiana State University-Shreveport","Louisiana",44500,79800,54,10,"18","2175","12","12",1,"Master's Colleges & Universities: Larger Programs"
"332",17,"Dillard University","Louisiana",44700,79800,74,20,"21","1309","11","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"333",20,"Northwestern State University of Louisiana","Louisiana",44300,79300,62,6,"18","8265","33","12",1,"Master's Colleges & Universities: Larger Programs"
"334",21,"Grambling State University","Louisiana",43100,73100,66,10,"18","4110","32","14",1,"Master's Colleges & Universities: Larger Programs"
"335",22,"Southern University at New Orleans","Louisiana",40100,71000,76,13,"19","1726","11","10",1,"Master's Colleges & Universities: Medium Programs"
"336",23,"New Orleans Baptist Theological Seminary","Louisiana",33900,61500,NA,0,"-2","736","11","-2",2,"Not applicable"
"337",1,"Maine Maritime Academy","Maine",67000,121800,65,48,"22","979","42","11",1,"Baccalaureate Colleges: Diverse Fields"
"338",2,"Bowdoin College","Maine",61300,112000,54,37,"21","1825","31","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"339",3,"Bates College","Maine",59500,111900,50,23,"21","1832","13","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"340",4,"Colby College","Maine",59200,103300,50,25,"21","2000","33","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"341",5,"University of Maine","Maine",52000,95000,50,24,"16","8861","23","13",1,"Doctoral Universities: High Research Activity"
"342",6,"University of New England","Maine",50100,91500,69,7,"16","2379","22","14",2,"Doctoral Universities: High Research Activity"
"343",7,"Saint Joseph's College of Maine","Maine",46900,84300,60,2,"18","1412","41","10",2,"Master's Colleges & Universities: Larger Programs"
"344",8,"Thomas College","Maine",46100,81500,49,3,"20","810","41","11",2,"Master's Colleges & Universities: Small Programs"
"345",9,"University of Southern Maine","Maine",46900,81300,55,8,"18","5281","13","12",1,"Master's Colleges & Universities: Larger Programs"
"346",10,"Husson University","Maine",43300,77600,52,1,"17","2682","13","13",2,"Doctoral/Professional Universities"
"347",11,"University of Maine at Fort Kent","Maine",43500,76300,73,5,"22","1033","43","6",1,"Baccalaureate Colleges: Diverse Fields"
"348",12,"University of Maine at Augusta","Maine",41600,73100,61,7,"22","3230","32","9",1,"Baccalaureate Colleges: Diverse Fields"
"349",13,"University of Maine at Farmington","Maine",41100,71700,64,5,"22","1637","33","11",1,"Baccalaureate Colleges: Diverse Fields"
"350",14,"University of Maine at Presque Isle","Maine",39000,70700,58,6,"22","791","41","7",1,"Baccalaureate Colleges: Diverse Fields"
"351",15,"Unity College","Maine",38200,69500,NA,23,"22","734","43","8",2,"Baccalaureate Colleges: Diverse Fields"
"352",16,"University of Maine at Machias","Maine",37100,66200,47,13,"21","480","43","7",1,"Baccalaureate Colleges: Arts & Sciences Focus"
"353",17,"Maine College of Art","Maine",36300,64600,37,0,"30","391","13","8",2,"Special Focus Four-Year: Arts, Music & Design Schools"
"354",1,"United States Naval Academy","Maryland",80100,152800,64,58,"21","4512","21","14",1,"Baccalaureate Colleges: Arts & Sciences Focus"
"355",2,"Capitol Technology University","Maryland",67400,118400,63,88,"28","427","21","7",2,"Special Focus Four-Year: Other Technology-Related Schools"
"356",3,"Johns Hopkins University","Maryland",67200,117100,57,31,"15","5567","11","16",2,"Doctoral Universities: Very High Research Activity"
"357",4,"University of Maryland-College Park","Maryland",61300,113400,50,33,"15","30184","21","16",1,"Doctoral Universities: Very High Research Activity"
"358",5,"Loyola University Maryland","Maryland",59900,111200,40,8,"18","3860","11","14",2,"Master's Colleges & Universities: Larger Programs"
"359",6,"University of Maryland-Baltimore County","Maryland",58100,103600,54,45,"16","11156","21","16",1,"Doctoral Universities: High Research Activity"
"360",7,"St. John's College","Maryland",55900,101200,NA,0,"21","474","21","8",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"361",7,"St. John's College","Maryland",55900,101200,NA,0,"21","320","41","8",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"362",8,"University of Maryland, Baltimore","Maryland",57300,99600,76,4,NA,NA,NA,NA,NA,NA
"363",8,"University of Maryland-University College","Maryland",55300,99600,59,27,NA,NA,NA,NA,NA,NA
"364",10,"Washington Adventist University","Maryland",55600,97600,63,9,"20","836","21","8",2,"Master's Colleges & Universities: Small Programs"
"365",11,"St Mary's College of Maryland","Maryland",53300,95400,45,27,NA,NA,NA,NA,NA,NA
"366",12,"McDaniel College","Maryland",51100,94600,54,6,"18","1542","23","11",2,"Master's Colleges & Universities: Larger Programs"
"367",13,"Mount St. Mary's University","Maryland",50200,94100,50,11,"19","1822","31","11",2,"Master's Colleges & Universities: Medium Programs"
"368",14,"Washington College","Maryland",52800,93500,55,21,"21","1342","32","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"369",15,"Stevenson University","Maryland",50400,91600,51,15,"18","3087","41","14",2,"Master's Colleges & Universities: Larger Programs"
"370",16,"Towson University","Maryland",51200,91200,47,15,"17","19623","13","16",1,"Doctoral/Professional Universities"
"371",17,"Goucher College","Maryland",49400,90600,42,11,"21","1523","13","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"372",18,"Bowie State University","Maryland",50300,89900,65,11,"18","5197","21","13",1,"Master's Colleges & Universities: Larger Programs"
"373",19,"Salisbury University","Maryland",50400,89800,51,12,"18","7444","23","13",1,"Master's Colleges & Universities: Larger Programs"
"374",20,"University of Baltimore","Maryland",51000,89600,56,2,"18","2486","11","12",1,"Master's Colleges & Universities: Larger Programs"
"375",21,"Frostburg State University","Maryland",49600,87000,48,19,"18","4359","23","13",1,"Master's Colleges & Universities: Larger Programs"
"376",22,"University of Maryland Eastern Shore","Maryland",48300,86700,63,14,"16","2538","31","14",1,"Doctoral Universities: High Research Activity"
"377",23,"Notre Dame of Maryland University","Maryland",48300,86400,58,3,"18","835","11","10",2,"Master's Colleges & Universities: Larger Programs"
"378",24,"Maryland Institute College of Art","Maryland",49000,84500,40,0,"30","1774","11","11",2,"Special Focus Four-Year: Arts, Music & Design Schools"
"379",25,"Hood College","Maryland",47900,82600,49,32,"18","1063","13","11",2,"Master's Colleges & Universities: Larger Programs"
"380",1,"Massachusetts Institute of Technology","Massachusetts",86300,155200,52,69,"15","4550","12","17",2,"Doctoral Universities: Very High Research Activity"
"381",2,"Harvard University","Massachusetts",74800,146800,54,19,"15","7582","12","17",2,"Doctoral Universities: Very High Research Activity"
"382",3,"Worcester Polytechnic Institute","Massachusetts",73600,135500,47,86,"16","4571","12","13",2,"Doctoral Universities: High Research Activity"
"383",4,"Babson College","Massachusetts",72000,133800,37,0,"29","2361","21","11",2,"Special Focus Four-Year: Business & Management Schools"
"384",5,"Williams College","Massachusetts",67500,127500,47,32,"21","2028","31","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"385",6,"MCPHS University","Massachusetts",65900,121800,71,2,"26","3933","11","13",2,"Special Focus Four-Year: Other Health Professions Schools"
"386",7,"Tufts University","Massachusetts",65200,118100,49,25,"15","5597","21","17",2,"Doctoral Universities: Very High Research Activity"
"387",8,"Massachusetts Maritime Academy","Massachusetts",67900,117500,53,47,"22","1653","22","11",1,"Baccalaureate Colleges: Diverse Fields"
"388",9,"Bentley University","Massachusetts",66600,116600,36,7,"18","4177","13","14",2,"Master's Colleges & Universities: Larger Programs"
"389",10,"Amherst College","Massachusetts",63800,116500,45,32,"21","1855","21","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"390",11,"Boston College","Massachusetts",63600,115400,43,13,"15","9639","13","17",2,"Doctoral Universities: Very High Research Activity"
"391",12,"College of the Holy Cross","Massachusetts",61800,114600,46,24,"21","2913","12","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"392",13,"Boston University","Massachusetts",61400,113600,43,25,"15","17238","11","17",2,"Doctoral Universities: Very High Research Activity"
"393",14,"Brandeis University","Massachusetts",60600,113200,48,29,"15","3627","13","14",2,"Doctoral Universities: Very High Research Activity"
"394",15,"Wentworth Institute of Technology","Massachusetts",62700,112700,53,39,"19","4254","11","14",2,"Master's Colleges & Universities: Medium Programs"
"395",16,"Northeastern University","Massachusetts",62500,109700,46,40,"15","13760","11","17",2,"Doctoral Universities: Very High Research Activity"
"396",17,"University of Massachusetts-Lowell","Massachusetts",58800,109300,53,35,"16","13385","21","16",1,"Doctoral Universities: High Research Activity"
"397",18,"Wellesley College","Massachusetts",58900,106200,48,34,"21","2392","21","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"398",19,"Stonehill College","Massachusetts",55900,103200,42,18,"21","2527","21","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"399",20,"Western New England University","Massachusetts",56400,103000,44,21,"17","2746","12","14",2,"Doctoral/Professional Universities"
"400",20,"University of Massachusetts-Amherst","Massachusetts",57400,103000,46,24,"15","23202","21","17",1,"Doctoral Universities: Very High Research Activity"
"401",22,"Merrimack College","Massachusetts",56000,102500,50,13,"18","3648","21","14",2,"Master's Colleges & Universities: Larger Programs"
"402",23,"Clark University","Massachusetts",52600,101400,47,14,"16","2252","12","14",2,"Doctoral Universities: High Research Activity"
"403",24,"Smith College","Massachusetts",52700,98200,51,26,"21","2496","21","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"404",25,"Wheaton College (Massachusetts)","Massachusetts",52600,97500,46,28,NA,NA,NA,NA,NA,NA
"405",1,"Kettering University","Michigan",69900,125000,44,74,"19","1861","13","9",2,"Master's Colleges & Universities: Medium Programs"
"406",2,"Michigan Technological University","Michigan",65000,116300,47,81,"16","5736","33","14",1,"Doctoral Universities: High Research Activity"
"407",3,"University of Michigan-Ann Arbor","Michigan",63500,112200,45,38,"15","30079","12","16",1,"Doctoral Universities: Very High Research Activity"
"408",4,"Lawrence Technological University","Michigan",57900,108400,49,60,"18","1991","13","10",2,"Master's Colleges & Universities: Larger Programs"
"409",5,"Michigan State University","Michigan",55300,100800,46,20,"15","39208","13","16",1,"Doctoral Universities: Very High Research Activity"
"410",6,"University of Michigan-Dearborn","Michigan",55700,99500,39,37,"18","6965","13","12",1,"Master's Colleges & Universities: Larger Programs"
"411",7,"Albion College","Michigan",52100,99300,44,23,"21","1512","31","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"412",8,"Kalamazoo College","Michigan",51600,94500,52,31,"21","1446","13","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"413",9,"Oakland University","Michigan",51300,93300,49,19,"16","15476","21","15",1,"Doctoral Universities: High Research Activity"
"414",10,"University of Detroit Mercy","Michigan",51800,92800,57,13,"17","2754","11","13",2,"Doctoral/Professional Universities"
"415",11,"Western Michigan University","Michigan",50900,92200,47,16,"16","17519","13","16",1,"Doctoral Universities: High Research Activity"
"416",12,"Wayne State University","Michigan",50800,91700,53,21,"15","17114","11","15",1,"Doctoral Universities: Very High Research Activity"
"417",13,"Calvin College","Michigan",50200,91100,54,23,NA,NA,NA,NA,NA,NA
"418",14,"Hope College","Michigan",49200,90900,51,18,"21","3046","13","14",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"419",15,"Alma College","Michigan",48400,89900,52,15,"22","1396","32","11",2,"Baccalaureate Colleges: Diverse Fields"
"420",16,"College for Creative Studies","Michigan",51200,89800,40,0,"30","1357","11","10",2,"Special Focus Four-Year: Arts, Music & Design Schools"
"421",17,"Ferris State University","Michigan",50000,89300,50,8,"17","11008","32","16",1,"Doctoral/Professional Universities"
"422",18,"Eastern Michigan University","Michigan",47300,86700,50,6,"16","15325","21","16",1,"Doctoral Universities: High Research Activity"
"423",19,"Northwood University","Michigan",47800,86300,47,1,"29","2744","13","10",2,"Special Focus Four-Year: Business & Management Schools"
"424",20,"Walsh College of Accountancy and Business Administration","Michigan",49400,85200,42,5,NA,NA,NA,NA,NA,NA
"425",21,"Andrews University","Michigan",47600,85000,51,7,"17","1466","31","11",2,"Doctoral/Professional Universities"
"426",22,"Cleary University","Michigan",47400,84700,50,0,"29","474","22","6",2,"Special Focus Four-Year: Business & Management Schools"
"427",23,"Central Michigan University","Michigan",47700,83600,46,13,"16","16157","32","16",1,"Doctoral Universities: High Research Activity"
"428",24,"Lake Superior State University","Michigan",45900,83500,48,14,"22","1873","33","11",1,"Baccalaureate Colleges: Diverse Fields"
"429",25,"Saginaw Valley State University","Michigan",46400,82200,54,12,"18","7431","22","13",1,"Master's Colleges & Universities: Larger Programs"
"430",1,"Carleton College","Minnesota",58800,109900,47,45,"21","2046","32","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"431",2,"Saint Johns University","Minnesota",59400,108400,45,25,"21","1667","41","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"432",3,"University of St Thomas (Minnesota)","Minnesota",57500,106400,50,20,NA,NA,NA,NA,NA,NA
"433",4,"University of Minnesota-Twin Cities","Minnesota",57200,104000,51,30,"15","31451","11","15",1,"Doctoral Universities: Very High Research Activity"
"434",5,"St Olaf College","Minnesota",54100,101900,46,30,"21","3022","32","14",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"435",6,"Macalester College","Minnesota",53600,100400,51,31,"21","2160","11","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"436",7,"Gustavus Adolphus College","Minnesota",51200,96800,47,22,"21","2229","31","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"437",8,"Dunwoody College of Technology","Minnesota",53400,96600,55,24,"23","1294","11","9",2,"Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's"
"438",9,"University of Minnesota-Duluth","Minnesota",53200,95700,48,30,"19","9108","13","16",1,"Master's Colleges & Universities: Medium Programs"
"439",10,"Saint Mary's University of Minnesota","Minnesota",53000,93700,53,5,"18","1409","32","13",2,"Master's Colleges & Universities: Larger Programs"
"440",11,"Saint Cloud State University","Minnesota",51600,91600,50,15,"18","8983","13","15",1,"Master's Colleges & Universities: Larger Programs"
"441",12,"Augsburg University","Minnesota",50500,91000,52,11,"18","2311","11","13",2,"Master's Colleges & Universities: Larger Programs"
"442",13,"Minnesota State University-Mankato","Minnesota",51600,90900,54,13,"18","11675","13","15",1,"Master's Colleges & Universities: Larger Programs"
"443",14,"Hamline University","Minnesota",48100,90400,52,5,"18","2077","11","10",2,"Master's Colleges & Universities: Larger Programs"
"444",15,"College of Saint Benedict","Minnesota",49100,88600,50,18,"21","1782","22","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"445",16,"Concordia University-Saint Paul","Minnesota",49200,86800,58,5,"18","2760","11","12",2,"Master's Colleges & Universities: Larger Programs"
"446",16,"Winona State University","Minnesota",49700,86800,51,10,"20","7052","32","13",1,"Master's Colleges & Universities: Small Programs"
"447",16,"The College of Saint Scholastica","Minnesota",51200,86800,64,12,"17","2457","13","13",2,"Doctoral/Professional Universities"
"448",19,"University of Minnesota-Crookston","Minnesota",49200,86400,54,4,"22","1834","32","10",1,"Baccalaureate Colleges: Diverse Fields"
"449",20,"Metropolitan State University","Minnesota",50200,85900,53,11,"17","6768","11","12",1,"Doctoral/Professional Universities"
"450",21,"Bethel University (Minnesota)","Minnesota",51000,85700,65,9,NA,NA,NA,NA,NA,NA
"451",22,"University of Minnesota-Morris","Minnesota",46100,85300,53,27,"21","1488","33","11",1,"Baccalaureate Colleges: Arts & Sciences Focus"
"452",23,"Concordia College at Moorhead","Minnesota",46800,85200,63,21,"21","2009","22","11",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"453",24,"Minneapolis College of Art and Design","Minnesota",47400,84700,39,0,"30","717","11","7",2,"Special Focus Four-Year: Arts, Music & Design Schools"
"454",25,"St Catherine University","Minnesota",48800,82600,65,2,"17","3238","11","13",2,"Doctoral/Professional Universities"
"455",1,"Mississippi State University","Mississippi",51100,94100,57,27,"15","18010","33","16",1,"Doctoral Universities: Very High Research Activity"
"456",2,"University of Mississippi","Mississippi",48500,89100,55,12,"15","17784","33","16",1,"Doctoral Universities: Very High Research Activity"
"457",3,"Millsaps College","Mississippi",49300,88700,56,24,"21","793","12","8",2,"Baccalaureate Colleges: Arts & Sciences Focus"
"458",4,"University of Southern Mississippi","Mississippi",45100,83900,56,11,"15","11834","13","16",1,"Doctoral Universities: Very High Research Activity"
"459",5,"Mississippi College","Mississippi",45200,79500,57,20,"17","3036","21","14",2,"Doctoral/Professional Universities"
